Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
80,9.6,2873.44,201939,20.3367,7.3532,16.9239,7.376,20.3176,6.8916,20.4152,6.5443,3.4129,0.4619,0.8127,10.2634,0.7271,0.3989
81,9.72,2873.32,201939,20.4558,7.7928,18.1921,7.9225,20.9624,8.1958,20.8525,7.3688,2.2674,0.6473,0.5807,10.2634,0.7271,0.3989
82,9.84,2873.2,201939,20.5539,8.164,3.886,6.3293,20.7087,8.6287,20.8516,7.7883,16.7685,0.4898,0.4793,10.2634,0.7271,0.3989
83,9.96,2873.07,201939,20.6799,8.4868,3.886,6.3293,20.7087,8.6287,20.8256,8.0226,16.9319,0.1448,0.4866,10.2634,0.7271,0.3989
84,10.08,2872.95,201939,20.9177,8.8417,18.84,8.2919,20.8692,8.6312,20.8897,8.3512,2.1492,0.216,0.4913,10.2634,0.7271,0.3989
85,10.2,2872.83,201939,21.1715,9.1635,37.4619,12.394,21.4419,9.1589,21.2904,8.6271,16.6076,0.2704,0.5495,10.2634,0.7271,0.3989
86,10.32,2872.71,201939,21.4761,9.4098,18.8319,8.6177,21.0919,9.2042,21.2099,8.9905,2.7602,0.4358,0.4966,10.2634,0.7271,0.3989
87,10.44,2872.59,201939,21.7777,9.6363,20.6404,9.2315,21.8731,9.5758,21.6717,9.357,1.2072,0.113,0.2987,10.2634,0.7271,0.3989
88,10.56,2872.47,201939,22.0786,9.8964,39.1972,17.5216,21.8665,10.7484,21.8406,9.7097,18.74,0.878,0.3025,10.2634,0.7271,0.3989
89,10.68,2872.35,201939,22.3619,10.0983,19.2632,8.2978,22.2566,8.8797,22.0738,9.5505,3.5838,1.2232,0.619,10.2634,0.7271,0.3989
90,10.8,2872.23,201939,22.6816,10.2454,33.1121,14.5511,23.2274,10.9705,22.8007,9.9569,11.2843,0.9075,0.3121,10.2634,0.7271,0.3989
91,10.92,2872.11,201939,22.9782,10.4468,23.6672,11.1772,22.9284,10.8847,22.9188,10.3197,1.0041,0.4407,0.1403,10.2634,0.7271,0.3989
92,11.04,2871.99,201939,23.2729,10.6704,25.9126,11.6425,23.6845,10.8498,23.3737,10.4597,2.813,0.449,0.2336,10.2634,0.7271,0.3989
93,11.16,2871.87,201939,23.5291,10.8847,24.6711,10.7319,24.1835,10.5734,23.8533,10.5236,1.1522,0.7247,0.4853,10.2634,0.7271,0.3989
94,11.279,2871.75,201939,23.7514,11.0585,23.8579,11.0792,24.0232,11.1452,24.0027,10.8379,0.1085,0.2853,0.3344,10.2634,0.7271,0.3989
95,11.4,2871.63,201939,23.9147,11.1696,29.0977,15.1837,24.1041,12.6333,23.9919,11.2008,6.5557,1.4759,0.0833,10.2634,0.7271,0.3989
96,11.52,2871.51,201939,23.9816,11.2347,26.0289,12.7798,24.061,11.8861,23.9891,11.3018,2.5649,0.6562,0.0675,10.2634,0.7271,0.3989
97,11.64,2871.38,201939,23.9659,11.2668,22.448,10.2943,23.9,10.8693,24.0124,11.3318,1.8027,0.4029,0.0799,10.2634,0.7271,0.3989
98,11.76,2871.26,201939,23.9781,11.3031,26.0605,12.14,24.4147,11.4772,24.1914,11.257,2.2443,0.47,0.2182,10.2634,0.7271,0.3989
99,11.88,2871.14,201939,23.9729,11.322,32.5086,17.168,24.5973,13.0614,24.2707,11.4737,10.3457,1.848,0.3342,10.2634,0.7271,0.3989
100,12.0,2871.02,201939,23.9649,11.345,23.4521,11.5426,23.4602,11.5463,23.7788,11.4507,0.5496,0.5434,0.214,10.2634,0.7271,0.3989
101,12.12,2870.9,201939,23.9618,11.3493,22.989,10.3985,24.0064,10.7775,23.9297,11.2983,1.3603,0.5736,0.0602,10.2634,0.7271,0.3989
102,12.24,2870.78,201939,23.9702,11.3379,21.6563,9.7221,23.5764,10.4128,23.7657,11.1512,2.8222,1.0054,0.2769,10.2634,0.7271,0.3989
103,12.36,2870.66,201939,23.9287,11.305,26.364,13.4549,24.2302,12.3939,24.0032,11.4746,3.2485,1.1299,0.1852,10.2634,0.7271,0.3989
104,12.48,2870.54,201939,23.8873,11.272,20.0177,8.7121,23.1634,9.7139,23.5636,11.1423,4.6397,1.718,0.3487,10.2634,0.7271,0.3989
105,12.6,2870.42,201939,23.8458,11.2391,23.0723,11.4156,23.5761,11.6557,23.6397,11.4402,0.7934,0.4962,0.288,10.2634,0.7271,0.3989
